,A,B,"dict(A,B)",#(A)+#(B)
242,2825,2995,0.0,2
243,3121,3654,0.0,2
244,2959,3671,0.0,2
245,3171,3938,0.0,2
246,1687,2313,0.0,2
247,2915,3375,0.0,2
248,3136,3464,0.0,2
249,2893,3278,0.0,2
250,3076,3115,0.0,2
251,3227,3253,0.0,2
252,3478,4443,0.0,3
253,2929,3733,0.0,2
254,3033,3241,0.0,2
255,3482,4446,0.0,3
256,1692,1861,0.0,2
257,2450,2451,0.0,2
258,2467,2475,0.0,2
259,2580,2602,0.0,2
260,708,729,0.0,2
261,785,4452,0.0,3
262,1706,1735,0.0,2
263,901,1062,0.0,2
264,846,877,0.0,2
265,931,4456,0.0,3
266,1549,1551,0.0,2
267,1553,4458,0.0,3
268,1575,4459,0.0,4
269,1578,4460,0.0,5
270,1588,4461,0.0,6
271,1663,4462,0.0,7
272,1747,4463,0.0,8
273,1682,1700,0.0,2
274,1793,1799,0.0,2
275,1866,4466,0.0,3
276,1868,1871,0.0,2
277,1878,4468,0.0,3
278,1884,4469,0.0,4
279,1973,4470,0.0,5
280,2007,4471,0.0,6
281,1898,1916,0.0,2
282,2087,4473,0.0,3
283,2654,2714,0.0,2
284,2774,2790,0.0,2
285,2733,2791,0.0,2
286,3048,3174,0.0,2
287,3514,3568,0.0,2
288,3428,3469,0.0,2
289,3198,3298,0.0,2
290,3347,4481,0.0,3
291,3255,3282,0.0,2
292,3226,3271,0.0,2
293,3431,3443,0.0,2
294,3770,3805,0.0,2
295,3589,3615,0.0,2
296,3642,4487,0.0,3
297,3817,3830,0.0,2
298,3896,4489,0.0,3
299,3960,4490,0.0,4
300,3823,3842,0.0,2
301,3862,4492,0.0,3
302,3950,4493,0.0,4
303,3475,3481,0.0,2
304,2864,2951,0.0,2
305,3939,3956,0.0,2
306,3813,3874,0.0,2
307,4009,4018,0.0,2
308,3807,3891,0.0,2
309,3900,4500,0.0,3
310,4089,4111,0.0,2
311,4114,4502,0.0,3
312,3275,3335,0.0,2
313,3561,4504,0.0,3
314,4099,4505,0.0,4
315,3185,3332,0.0,2
316,3200,3260,0.0,2
317,3595,3645,0.0,2
318,3764,3788,0.0,2
319,2997,3176,0.0,2
320,3893,3897,0.0,2
321,3811,3910,0.0,2
322,3632,3660,0.0,2
323,3614,3666,0.0,2
324,3492,3574,0.0,2
325,3676,3710,0.0,2
326,3820,3845,0.0,2
327,3847,4518,0.0,3
328,3828,3854,0.0,2
329,3867,4520,0.0,3
330,3892,4521,0.0,4
331,3907,4522,0.0,5
332,3944,4523,0.0,6
333,3953,4524,0.0,7
334,4037,4048,0.0,2
335,3487,3556,0.0,2
336,3826,3890,0.0,2
337,3920,4528,0.0,3
338,3957,4529,0.0,4
339,3902,3951,0.0,2
340,3965,3976,0.0,2
341,3978,4532,0.0,3
342,3981,4533,0.0,4
343,4031,4534,0.0,5
344,4032,4535,0.0,6
345,3855,3865,0.0,2
346,3894,4537,0.0,3
347,3351,3376,0.0,2
348,3806,3848,0.0,2
349,3928,4540,0.0,3
350,4094,4095,0.0,2
351,2958,3665,0.0,2
352,3716,4543,0.0,3
