,A,B,"dict(A,B)",#(A)+#(B)
942,1905,1997,0.046887041983511346,2
943,1803,1824,0.046887041983511346,2
944,2149,2156,0.046887041983511346,2
945,2760,2783,0.046887041983511346,2
946,2431,2478,0.046887041983511346,2
947,2381,2489,0.046887041983511346,2
948,2245,2256,0.046887041983511346,2
949,4476,4477,0.046887041983511346,4
950,0,52,0.046887041983511374,2
951,46,4203,0.046887041983511374,3
952,19,54,0.046887041983511374,2
953,23,39,0.046887041983511374,2
954,517,527,0.046887041983511374,2
955,1280,1342,0.046887041983511374,2
956,237,289,0.046887041983511374,2
957,980,4288,0.046887041983511374,3
958,4297,4298,0.046887041983511374,4
959,710,743,0.046887041983511374,2
960,1394,1418,0.046887041983511374,2
961,196,225,0.046887041983511374,2
962,884,4327,0.046887041983511374,4
963,926,4328,0.046887041983511374,3
964,997,4364,0.046887041983511374,3
965,30,55,0.04688704198351139,2
966,992,1039,0.04688704198351139,2
967,1477,1482,0.04688704198351139,2
968,1949,2000,0.04688704198351139,2
969,9,4196,0.0468870419835114,3
970,136,167,0.0468870419835114,2
971,67,102,0.0468870419835114,2
972,947,975,0.0468870419835114,2
973,1468,4264,0.0468870419835114,3
974,1914,1976,0.0468870419835114,2
975,512,531,0.0468870419835114,2
976,581,587,0.0468870419835114,2
977,574,584,0.0468870419835114,2
978,764,4331,0.0468870419835114,5
979,876,906,0.0468870419835114,2
980,1075,1092,0.0468870419835114,2
981,2244,2270,0.0468870419835114,2
982,1614,1615,0.0468870419835114,2
983,2708,3646,0.048226671529410625,2
984,2884,3145,0.05114949998760207,2
985,3119,3139,0.0511494999876021,2
986,2991,3143,0.0511494999876021,2
987,3000,3022,0.0511494999876021,2
988,3013,3179,0.0511494999876021,2
989,3114,3124,0.0511494999876021,2
990,1752,2137,0.05358519083829805,2
991,3293,4482,0.05626444993009727,4
992,4483,4484,0.05626444993009727,4
993,2749,2846,0.05626444993009738,2
994,2860,2946,0.05626444993009738,2
995,3052,3172,0.05626444993009738,2
996,2355,2573,0.056264449930097715,2
997,2143,2233,0.056264449930097715,2
998,2856,3093,0.05626444993009788,2
999,2890,3193,0.05626444993009792,2
1000,3294,4508,0.05626444993009794,3
1001,2652,4919,0.05683277770148609,3
1002,1853,4930,0.060953153903390955,3
1003,2119,4932,0.060953153903390955,3
1004,610,4979,0.0625160552278218,4
1005,4354,5063,0.06251605522782182,6
1006,213,4950,0.06251605522782207,4
1007,3479,4737,0.06251605541536986,3
1008,3130,3417,0.06251605541536998,2
1009,2752,3265,0.06251605541536998,2
1010,2966,3426,0.06251605541536998,2
1011,3147,3416,0.06251605541536998,2
1012,3354,3434,0.06251605541537009,2
1013,3372,3461,0.06251605541537009,2
1014,3120,3194,0.0625160554153702,2
1015,3239,4429,0.0625160554153702,3
1016,2427,2443,0.06251605541537031,2
1017,3252,3466,0.06251605541537042,2
1018,4426,4427,0.06251605541537042,4
1019,2420,2446,0.06251605541537048,2
1020,2922,3477,0.06251605541537048,2
1021,3430,4539,0.06251605541537053,3
1022,2031,4971,0.06251605579046678,4
1023,532,5075,0.06251605579046682,4
1024,618,4987,0.06251605579046682,4
1025,4219,5037,0.06251605579046683,5
1026,4265,4985,0.06251605579046685,5
1027,4320,5050,0.06251605579046686,5
1028,2945,3266,0.06251605597801446,2
1029,2317,4642,0.06430222833078436,3
1030,4241,5005,0.06564185855185792,7
1031,1677,4995,0.0703305621312995,3
1032,1336,5003,0.0703305621312995,3
1033,109,5008,0.07033056213129951,3
1034,389,4983,0.07033056213129953,3
1035,4268,4988,0.07033056213129953,4
1036,4272,5043,0.07033056213129954,4
1037,1119,5069,0.07033056213129954,3
1038,322,4959,0.07033056213129957,3
1039,917,4965,0.07033056213129957,3
1040,2764,5096,0.07033056213129962,3
1041,2854,2972,0.07033056241262203,2
1042,3392,3476,0.07033056241262203,2
1043,2983,3550,0.07033056241262203,2
1044,3024,3289,0.07033056241262203,2
1045,2353,3314,0.07033056241262203,2
1046,3552,3567,0.07033056241262203,2
1047,3572,4516,0.07033056241262203,3
1048,3566,4527,0.07033056241262203,3
1049,3531,3532,0.07033056241262203,2
1050,2976,3330,0.07033056241262203,2
1051,3528,3559,0.07033056241262203,2
1052,3491,3583,0.07033056241262203,2
1053,3495,3500,0.07033056241262203,2
1054,113,4947,0.07033056269394455,3
1055,98,4952,0.07033056269394455,3
1056,778,5010,0.07033056269394455,3
1057,1509,5012,0.07033056269394455,3
1058,1077,5053,0.07033056269394455,3
1059,1459,5056,0.07033056269394455,3
1060,1310,5027,0.07033056269394455,3
1061,1480,5028,0.07033056269394455,3
1062,1161,4984,0.07033056269394457,3
1063,1945,4997,0.07033056269394457,3
1064,1734,5002,0.07033056269394457,3
1065,1503,5040,0.07033056269394458,3
1066,732,5052,0.07033056269394458,3
1067,4350,5060,0.07033056269394458,4
1068,2658,3034,0.07144692055508656,2
1069,2459,4639,0.07144692055508672,3
1070,4193,4194,0.07222043796254107,4
1071,61,79,0.07222043796254107,2
1072,158,209,0.0722204379625413,2
1073,333,4211,0.0722204379625413,4
1074,623,661,0.0722204379625413,2
1075,250,344,0.0722204379625413,2
1076,243,4228,0.0722204379625413,3
1077,505,595,0.0722204379625413,2
1078,164,227,0.0722204379625413,2
1079,695,759,0.0722204379625413,2
1080,385,487,0.0722204379625413,2
1081,146,233,0.0722204379625413,2
1082,4286,4287,0.0722204379625413,4
1083,684,722,0.0722204379625413,2
1084,832,898,0.0722204379625413,2
1085,965,1049,0.0722204379625413,2
1086,653,748,0.0722204379625413,2
1087,791,875,0.0722204379625413,2
1088,692,4335,0.0722204379625413,3
1089,547,4336,0.0722204379625413,3
1090,697,760,0.0722204379625413,2
1091,386,468,0.0722204379625413,2
1092,954,1001,0.0722204379625413,2
1093,927,991,0.0722204379625413,2
1094,533,557,0.0722204379625413,2
1095,915,990,0.0722204379625413,2
1096,944,1012,0.0722204379625413,2
1097,705,728,0.0722204379625413,2
1098,2954,3393,0.0722204379625413,2
1099,3506,4433,0.0722204379625413,3
1100,2677,2785,0.0722204379625413,2
1101,4104,4526,0.0722204379625413,3
1102,3797,4541,0.0722204379625413,4
1103,4024,4542,0.0722204379625413,3
1104,2663,4569,0.0722204379625413,4
1105,2778,2952,0.0722204379625413,2
1106,2724,3005,0.0722204379625413,2
1107,2683,2788,0.0722204379625413,2
1108,4020,4608,0.0722204379625413,3
1109,2380,2786,0.0722204379625413,2
1110,2535,2665,0.0722204379625413,2
1111,4686,4688,0.0722204379625413,7
1112,2336,4691,0.0722204379625413,3
1113,2718,4692,0.0722204379625413,3
1114,4705,4706,0.0722204379625413,6
1115,2707,2803,0.0722204379625413,2
1116,2393,2588,0.0722204379625413,2
1117,2330,4722,0.0722204379625413,4
1118,2646,2798,0.0722204379625413,2
1119,2582,2642,0.0722204379625413,2
1120,4752,4754,0.0722204379625413,5
1121,4756,4761,0.0722204379625413,9
1122,4768,4773,0.0722204379625413,9
1123,2645,4775,0.0722204379625413,4
1124,4017,4793,0.0722204379625413,8
1125,3996,4087,0.0722204379625413,2
1126,4006,4887,0.0722204379625413,3
1127,1440,1544,0.07222043796254135,2
1128,1474,1502,0.07222043796254135,2
1129,2558,2679,0.07222043796254135,2
1130,2584,2690,0.07222043796254135,2
1131,2481,4438,0.07222043796254135,3
1132,1685,4454,0.07222043796254135,3
1133,4464,4465,0.07222043796254135,10
1134,2551,2653,0.07222043796254135,2
1135,2528,2706,0.07222043796254135,2
1136,4564,4566,0.07222043796254135,5
1137,1837,4612,0.07222043796254135,3
1138,1723,4622,0.07222043796254135,7
1139,1966,4638,0.07222043796254135,6
1140,4649,4650,0.07222043796254135,5
1141,4659,4666,0.07222043796254135,12
1142,1744,1834,0.07222043796254135,2
1143,1754,4700,0.07222043796254135,7
1144,4709,4712,0.07222043796254135,7
1145,4724,4725,0.07222043796254135,5
1146,2108,2178,0.07222043796254139,2
1147,2061,2198,0.07222043796254139,2
1148,2014,2128,0.07222043796254139,2
1149,1932,2023,0.07222043796254139,2
1150,2186,2332,0.07222043796254139,2
1151,2059,2171,0.07222043796254139,2
1152,1936,2053,0.07222043796254139,2
1153,2148,2230,0.07222043796254139,2
1154,1423,1583,0.07222043796254139,2
1155,989,1024,0.07222043796254139,2
1156,1072,4656,0.07222043796254139,3
1157,1389,4249,0.0722204379625414,3
1158,1536,1643,0.0722204379625414,2
1159,1661,1705,0.0722204379625414,2
1160,1216,1314,0.0722204379625414,2
1161,1213,1313,0.0722204379625414,2
1162,1417,4262,0.0722204379625414,3
1163,1638,1732,0.0722204379625414,2
1164,1335,1379,0.0722204379625414,2
1165,1241,4289,0.0722204379625414,3
1166,1154,1263,0.0722204379625414,2
1167,1006,1091,0.0722204379625414,2
1168,1141,1202,0.0722204379625414,2
1169,1416,4300,0.0722204379625414,3
1170,1401,1431,0.0722204379625414,2
1171,1100,1158,0.0722204379625414,2
1172,1106,1184,0.0722204379625414,2
1173,1320,1366,0.0722204379625414,2
1174,1538,4309,0.0722204379625414,3
1175,1537,1609,0.0722204379625414,2
1176,1301,1357,0.0722204379625414,2
1177,1243,1289,0.0722204379625414,2
1178,1262,1334,0.0722204379625414,2
1179,1179,1207,0.0722204379625414,2
1180,1103,1139,0.0722204379625414,2
1181,1791,1890,0.0722204379625414,2
1182,1275,1410,0.0722204379625414,2
1183,1076,1142,0.0722204379625414,2
1184,1717,1870,0.0722204379625414,2
1185,1371,1455,0.0722204379625414,2
1186,1022,1093,0.0722204379625414,2
1187,1708,1844,0.0722204379625414,2
1188,1770,1877,0.0722204379625414,2
1189,2314,2434,0.0722204379625414,2
1190,2282,2486,0.0722204379625414,2
1191,2676,2805,0.0722204379625414,2
1192,2631,2747,0.0722204379625414,2
1193,2269,2483,0.0722204379625414,2
1194,2289,4387,0.0722204379625414,3
1195,1398,1456,0.0722204379625414,2
1196,2292,2442,0.0722204379625414,2
1197,2374,2503,0.0722204379625414,2
1198,1516,1684,0.0722204379625414,2
1199,2194,4394,0.0722204379625414,3
1200,3544,4395,0.0722204379625414,3
1201,3142,3636,0.0722204379625414,2
1202,2414,2686,0.0722204379625414,2
1203,2347,2605,0.0722204379625414,2
1204,837,4455,0.0722204379625414,3
1205,847,4453,0.0722204379625414,4
1206,4467,4472,0.0722204379625414,9
1207,2628,2759,0.0722204379625414,2
1208,2273,2376,0.0722204379625414,2
1209,3678,4488,0.0722204379625414,4
1210,2098,4567,0.0722204379625414,3
1211,2731,3188,0.0722204379625414,2
1212,2076,2200,0.0722204379625414,2
1213,1994,2093,0.0722204379625414,2
1214,2203,4614,0.0722204379625414,3
1215,2237,2412,0.0722204379625414,2
1216,1298,4617,0.0722204379625414,3
1217,4626,4629,0.0722204379625414,9
1218,2438,4633,0.0722204379625414,6
1219,2139,2251,0.0722204379625414,2
1220,1531,2107,0.0722204379625414,2
1221,2597,2682,0.0722204379625414,2
1222,4651,4652,0.0722204379625414,4
1223,4671,4673,0.0722204379625414,9
1224,4677,4678,0.0722204379625414,7
1225,4694,4695,0.0722204379625414,5
1226,4715,4717,0.0722204379625414,7
1227,2099,4718,0.0722204379625414,3
1228,1979,4719,0.0722204379625414,3
1229,4727,4728,0.0722204379625414,5
1230,1670,1786,0.0722204379625414,2
1231,1918,2084,0.0722204379625414,2
1232,2094,2485,0.0722204379625414,2
1233,72,134,0.07222043796254152,2
1234,192,301,0.07222043796254152,2
1235,582,617,0.07222043796254152,2
1236,347,388,0.07222043796254152,2
1237,317,382,0.07222043796254152,2
1238,116,162,0.07222043796254152,2
1239,112,4220,0.07222043796254152,3
1240,74,173,0.07222043796254152,2
1241,357,396,0.07222043796254152,2
1242,580,621,0.07222043796254152,2
1243,426,514,0.07222043796254152,2
1244,746,820,0.07222043796254152,2
1245,408,4233,0.07222043796254152,3
1246,476,493,0.07222043796254152,2
1247,712,781,0.07222043796254152,2
1248,576,616,0.07222043796254152,2
1249,217,265,0.07222043796254152,2
1250,713,4282,0.07222043796254152,3
1251,316,4291,0.07222043796254152,3
1252,470,4313,0.07222043796254152,3
1253,583,638,0.07222043796254152,2
1254,115,4322,0.07222043796254152,3
1255,738,815,0.07222043796254152,2
1256,438,535,0.07222043796254152,2
1257,571,608,0.07222043796254152,2
1258,4503,4506,0.07222043796254152,7
1259,4082,4590,0.07222043796254152,3
1260,3099,4604,0.07222043796254152,7
1261,2793,4689,0.07222043796254152,3
1262,4038,4074,0.07222043796254152,2
1263,3458,4785,0.07222043796254152,4
1264,4853,4858,0.07222043796254152,9
1265,4867,4880,0.07222043796254152,16
1266,4055,4886,0.07222043796254152,6
1267,3004,3299,0.07240134233849208,2
1268,2818,2873,0.07249051131454917,2
1269,3328,3382,0.07249051131454917,2
1270,3132,3164,0.07249051131454917,2
1271,2236,2268,0.07272183896217721,2
1272,3563,3627,0.0729159677655264,2
1273,2538,2541,0.0729159677655264,2
1274,3503,3639,0.07291596776552646,2
1275,1540,1790,0.07294136351315515,2
1276,3244,4485,0.07329476068639046,3
1277,2927,3158,0.0733437701676837,2
1278,2950,3011,0.0733437701676837,2
1279,1937,4921,0.07341817657677802,3
1280,3727,4509,0.07345238220660257,3
1281,3672,3698,0.07345238220660257,2
1282,2424,4449,0.07345238220660269,3
1283,3118,3245,0.07345238220660277,2
1284,3450,3526,0.07345238220660277,2
1285,2910,4424,0.07345238220660277,3
1286,2986,3582,0.07345238220660277,2
1287,3312,4435,0.07345238220660277,3
1288,3663,3721,0.07345238220660277,2
1289,2957,2971,0.0738326220293538,2
1290,3102,3242,0.07383262202935381,2
1291,3071,3452,0.07389220349902743,2
1292,2913,3110,0.07420571735955037,2
1293,2816,3713,0.07461591519101461,2
1294,3192,3453,0.0746159151910147,2
1295,3117,3159,0.07461591519101471,2
1296,2934,3028,0.07461591519101472,2
1297,2277,2629,0.07461591519101472,2
1298,3773,4738,0.07461591519101475,3
1299,2500,4922,0.07464474572128471,5
1300,2827,3366,0.07496384756820644,2
1301,2680,2999,0.07496384756820644,2
1302,1842,2104,0.07501926638591527,2
1303,951,4989,0.07501926683603118,6
1304,3031,3248,0.07506260764274787,2
1305,2858,3170,0.07529943849302405,2
1306,1457,4991,0.07569174583625063,5
1307,1238,4982,0.07569174583625068,5
1308,1329,5007,0.07569174583625068,5
1309,2430,2775,0.0757138427810358,2
1310,1772,2493,0.07593016749614187,2
1311,2810,4943,0.07636904491329333,3
1312,3291,4495,0.07642717316371925,3
1313,2961,3009,0.07642717316371926,2
1314,2981,3154,0.07642717316371929,2
1315,4928,5107,0.0765950955636936,5
1316,2487,4938,0.07680040288008129,3
1317,2465,4939,0.07680040288008129,3
1318,2563,4940,0.07680040288008129,3
1319,836,4980,0.07684884846082034,4
1320,4294,5047,0.07684884846082034,5
1321,1191,5011,0.07684884846082045,4
1322,2346,4975,0.07684884846082045,4
1323,711,4963,0.07684884846082053,4
1324,816,5049,0.07684884846082056,4
1325,311,5104,0.0768488484608206,4
1326,972,5156,0.07684884856294587,4
1327,270,5118,0.07684884856294606,4
1328,2944,3622,0.07703009021574671,2
1329,3590,4434,0.07703009021574674,3
1330,2920,2996,0.07703009021574674,2
1331,1848,2138,0.07703009021574675,2
1332,3594,3740,0.07703009021574711,2
1333,3746,4498,0.07750621743437994,3
1334,3774,4538,0.07750621743437994,4
1335,3804,3901,0.07750621743437994,2
1336,2735,2909,0.07750621743438006,2
1337,4744,4747,0.0775062174343801,6
1338,3798,3818,0.0775062174343801,2
1339,2985,3753,0.07750621743438015,2
1340,3767,3861,0.07750621743438019,2
1341,3777,3941,0.07750621743438019,2
1342,3946,4816,0.07750621743438026,3
1343,4247,5006,0.07777453056047626,7
1344,949,4961,0.07814506903477729,4
1345,392,4992,0.07814506959742226,4
1346,2328,5090,0.07814506959742229,4
1347,1789,5061,0.0781450695974223,4
1348,2889,5179,0.078291358218821,3
1349,4954,4955,0.07839165196024668,6
1350,3015,3230,0.07847069108239459,2
1351,3423,5184,0.07886952410324231,5
1352,57,4953,0.07916305370995964,3
1353,18,5073,0.07916305370995969,3
1354,4226,4956,0.07916305370995985,4
1355,4957,4958,0.07916305370995985,5
1356,854,4960,0.07916305370995985,3
1357,1026,4999,0.07916305370995985,3
1358,432,5036,0.07916305370995987,3
1359,4304,5079,0.07916305370995988,4
1360,643,5082,0.07916305370995988,3
1361,817,5083,0.07916305370995988,3
1362,707,5103,0.07916305370995991,3
1363,1580,5059,0.07916305370995991,3
1364,1494,5029,0.07916305370995991,3
1365,560,5105,0.07916305370995994,5
1366,1988,4969,0.07916305370995994,3
1367,2028,5001,0.07916305370995995,3
1368,1352,5038,0.07916305370995996,3
1369,1762,5022,0.07916305370995996,3
1370,1567,5023,0.07916305370995996,3
1371,1295,5024,0.07916305370995996,3
1372,1098,5000,0.07916305370995996,3
1373,1309,5064,0.07916305370995996,3
1374,1906,5065,0.07916305370995996,3
1375,4373,4970,0.07916305370995996,5
1376,169,4948,0.07916305370996005,3
1377,277,4951,0.07916305370996005,3
1378,627,5072,0.07916305370996007,3
1379,4208,5033,0.07916305370996007,4
1380,252,5078,0.07916305370996007,3
1381,153,5102,0.07916305370996012,3
1382,1957,5214,0.07916305378655408,5
1383,28,5115,0.07916305386314794,3
1384,5161,5163,0.07916305386314795,5
1385,315,5110,0.07916305386314802,3
1386,448,5116,0.07916305386314815,3
1387,321,5120,0.07916305386314815,3
1388,670,5151,0.07916305386314815,3
1389,228,5162,0.07916305386314816,3
1390,590,5167,0.07916305386314816,3
1391,5170,5171,0.07916305386314816,7
1392,1520,5159,0.0791630538631482,3
1393,2286,5136,0.07916305386314823,3
1394,1841,5160,0.07916305386314824,3
1395,1149,5150,0.07916305386314826,5
1396,1303,5152,0.07916305386314826,3
1397,4356,5174,0.07916305386314826,4
1398,203,5148,0.07916305386314836,3
1399,4310,5153,0.07916305386314836,4
1400,636,5168,0.07916305386314837,3
1401,649,5169,0.07916305386314837,3
1402,2536,4937,0.07930151388576673,4
1403,5154,5155,0.08032015651324949,7
1404,3308,3410,0.08037778513215871,2
1405,3277,4436,0.08037778513215871,3
1406,3624,3626,0.08037778513215876,2
1407,3661,4748,0.08037778513215876,3
1408,3593,3599,0.08037778569480225,2
1409,3600,3601,0.08037778569480225,2
1410,3597,3611,0.0803777856948027,2
1411,3123,3414,0.08037778569480276,2
1412,3236,3329,0.0803777856948028,2
1413,3295,3449,0.0803777856948028,2
1414,3538,3619,0.08037778569480325,2
1415,2968,3229,0.08037778569480325,2
1416,2921,3209,0.08037778569480325,2
1417,3591,4763,0.08037778569480336,4
1418,3472,5241,0.08040357601424858,3
1419,2695,5237,0.08057562461126486,3
1420,3079,3326,0.08060871313071259,2
1421,1962,5261,0.08133122922633496,4
1422,2903,3152,0.08138036779762108,2
1423,3296,3465,0.08138036779762112,2
1424,2272,2592,0.08138036779762117,2
1425,2437,4643,0.08138036779762117,3
1426,3220,3391,0.08138036779762127,2
1427,3686,3745,0.08138036779762127,2
1428,3558,4442,0.08138036779762133,3
1429,3097,3409,0.08138036779762133,2
1430,4212,5034,0.08147725895909919,6
1431,459,5226,0.08147725895909938,4
1432,895,5057,0.0814772589590994,4
1433,1127,5017,0.08147725895909948,4
1434,1325,5054,0.08147725895909949,4
1435,614,5051,0.08147725895909959,4
1436,4342,5251,0.08147725906122501,5
1437,1829,5256,0.08147725906122501,4
1438,835,5258,0.08147725906122512,4
1439,69,5143,0.08147725916335025,4
1440,4428,5210,0.08162014067427215,6
1441,2723,5185,0.0818854305740032,3
1442,1500,5330,0.08253764338576161,8
1443,1800,5335,0.08253764338576161,8
1444,2729,4945,0.08256395708599562,3
1445,2151,5538,0.08263436166026339,5
1446,4311,5537,0.08263436166026347,6
1447,3051,3362,0.08264949331477574,2
1448,3734,5597,0.08264949331477574,4
1449,3153,5596,0.08264949331477575,3
1450,3603,3714,0.08264949331477577,2
1451,3511,3659,0.08264949331477577,2
1452,5126,5515,0.08282317900230486,7
1453,5062,5197,0.08300811601859845,8
1454,5146,5217,0.0837771286474536,7
1455,4743,5244,0.08408093675191845,5
1456,2364,5410,0.08425717762296497,7
1457,3092,5186,0.08439667489514663,3
1458,3090,5187,0.08439667489514663,3
1459,2940,3195,0.08444428752009417,2
1460,3234,3381,0.08444428752009417,2
1461,3261,3429,0.08444428752009417,2
1462,3140,3204,0.0844442875200942,2
1463,3586,5213,0.08461285878640595,4
1464,1935,5194,0.08461988561179361,4
1465,5042,5227,0.0849306471729176,6
1466,2132,5616,0.08525117217626252,3
1467,2799,5193,0.08541308955765113,4
1468,3036,4507,0.08564444790736095,3
1469,3040,3325,0.08564444790736132,2
1470,4936,5201,0.08601553561583464,4
1471,27,71,0.08610566945737824,2
1472,163,222,0.08610566945737841,2
1473,133,220,0.08610566945737841,2
1474,422,450,0.08610566945737841,2
1475,413,429,0.08610566945737841,2
1476,984,994,0.08610566945737841,2
1477,421,433,0.08610566945737842,2
1478,774,893,0.08610566945737842,2
1479,131,204,0.08610566945737844,2
1480,303,338,0.08610566945737844,2
1481,963,1046,0.08610566945737844,2
1482,381,430,0.08610566945737844,2
1483,955,1023,0.08610566945737844,2
1484,570,4292,0.08610566945737844,3
1485,913,987,0.08610566945737844,2
1486,1000,4337,0.08610566945737844,3
1487,249,356,0.08610566945737844,2
1488,2896,3257,0.08610566945737844,2
1489,3723,3886,0.08610566945737844,2
1490,4571,4572,0.08610566945737844,4
1491,1436,1530,0.08610566945737845,2
1492,2513,2656,0.08610566945737845,2
1493,1424,1529,0.08610566945737845,2
1494,4583,4585,0.08610566945737845,5
1495,293,312,0.08610566945737846,2
1496,628,658,0.08610566945737846,2
1497,677,752,0.08610566945737846,2
1498,1445,4307,0.08610566945737846,3
1499,2036,2205,0.08610566945737849,2
1500,1927,2032,0.08610566945737849,2
1501,1858,1891,0.08610566945737849,2
1502,1910,2033,0.08610566945737849,2
1503,2058,4324,0.0861056694573785,3
1504,2054,2154,0.0861056694573785,2
1505,1795,2006,0.0861056694573785,2
1506,2298,2339,0.0861056694573785,2
1507,2329,2435,0.0861056694573785,2
1508,2262,4375,0.0861056694573785,3
1509,1392,1449,0.0861056694573785,2
1510,1599,1765,0.0861056694573785,2
1511,2666,4392,0.0861056694573785,3
1512,1738,1843,0.0861056694573785,2
1513,2382,2507,0.0861056694573785,2
1514,2596,2630,0.0861056694573785,2
1515,2734,3191,0.0861056694573785,2
1516,1195,4248,0.08610566945737852,3
1517,1611,1701,0.08610566945737852,2
1518,1196,1252,0.08610566945737852,2
1519,1377,1433,0.08610566945737852,2
1520,1153,1208,0.08610566945737852,2
1521,1683,4325,0.08610566945737852,3
1522,1689,1760,0.08610566945737852,2
1523,1214,1346,0.08610566945737852,2
1524,2175,4357,0.08610566945737852,3
1525,1359,4363,0.08610566945737852,3
1526,1331,1393,0.08610566945737852,2
1527,1014,1090,0.08610566945737852,2
1528,1265,1318,0.08610566945737852,2
1529,1953,2016,0.08610566945737852,2
1530,1101,4242,0.08610566945737853,3
1531,1073,1133,0.08610566945737853,2
1532,1356,1475,0.08610566945737853,2
1533,1116,1193,0.08610566945737853,2
1534,1113,1186,0.08610566945737853,2
1535,1172,1230,0.08610566945737853,2
1536,2491,4359,0.08610566945737853,3
1537,1617,1778,0.08610566945737853,2
1538,1305,1380,0.08610566945737853,2
1539,1651,1736,0.08610566945737853,2
1540,1542,1600,0.08610566945737853,2
1541,2176,2304,0.08610566945737855,2
1542,2218,2260,0.08610566945737855,2
1543,2051,2166,0.08610566945737855,2
1544,1809,1923,0.08610566945737855,2
1545,1985,2019,0.08610566945737855,2
1546,1785,1867,0.08610566945737856,2
1547,2291,2369,0.08610566945737856,2
1548,2356,4393,0.08610566945737856,3
1549,2687,2726,0.08610566945737856,2
1550,871,961,0.08610566945737859,2
1551,515,4198,0.08610566945737859,3
1552,299,335,0.08610566945737859,2
1553,197,242,0.08610566945737859,2
1554,320,418,0.08610566945737859,2
1555,700,740,0.08610566945737859,2
1556,741,834,0.0861056694573786,2
1557,64,175,0.08610566945737862,2
1558,4277,4278,0.08610566945737862,4
1559,445,540,0.08610566945737862,2
1560,744,782,0.08610566945737862,2
1561,360,384,0.08610566945737862,2
1562,186,275,0.08610566945737862,2
1563,3983,4491,0.08610566945737864,5
1564,4551,4553,0.08610566945737864,5
1565,2071,2153,0.08610566945737869,2
1566,218,273,0.08610566945737871,2
1567,550,596,0.08610566945737877,2
1568,899,932,0.08610566945737877,2
1569,3935,3975,0.08610566945737877,2
1570,2639,2768,0.08610566976375454,2
1571,51,122,0.0861056697637548,2
1572,105,180,0.08610566976375494,2
1573,398,4209,0.086105669763755,3
1574,679,762,0.086105669763755,2
1575,519,569,0.08610566976375501,2
1576,380,446,0.08610566976375503,2
1577,974,4259,0.08610566976375503,3
1578,735,4276,0.08610566976375503,5
1579,1525,1603,0.08610566976375508,2
1580,1862,1974,0.08610566976375508,2
1581,2373,2556,0.08610566976375508,2
1582,2129,2185,0.08610566976375508,2
1583,2197,2290,0.08610566976375508,2
1584,1625,1780,0.08610566976375511,2
1585,1584,1645,0.08610566976375511,2
1586,1051,1078,0.08610566976375511,2
1587,1047,1129,0.08610566976375511,2
1588,1545,1646,0.08610566976375512,2
1589,1218,1302,0.08610566976375512,2
1590,1132,1236,0.08610566976375512,2
1591,1413,1487,0.08610566976375512,2
1592,1144,1197,0.08610566976375512,2
1593,1759,1847,0.08610566976375512,2
1594,1506,1639,0.08610566976375512,2
1595,110,148,0.08610566976375518,2
1596,4221,4222,0.08610566976375518,4
1597,472,525,0.08610566976375518,2
1598,889,960,0.08610566976375518,2
1599,879,942,0.0861056697637552,2
1600,586,612,0.08610566976375521,2
1601,856,957,0.08610566976375521,2
1602,1432,5325,0.08666452555504968,11
1603,4929,5182,0.08680912267717703,4
1604,2131,2534,0.08684240615221896,2
1605,4946,5246,0.08685317845259392,5
1606,4978,5145,0.0868531785036567,5
1607,5119,5215,0.08685317852918845,7
1608,1652,5218,0.08700268031291268,6
1609,404,5219,0.08700268031291278,6
1610,4273,5228,0.08722693276216606,6
1611,3596,5401,0.08729766428198914,5
1612,2817,3206,0.08797419505185089,2
1613,1061,1921,0.08849894354444562,2
1614,1565,1610,0.08849894354444564,2
1615,3112,3338,0.08849894354444576,2
1616,5165,5257,0.08864515165113428,6
1617,1695,5713,0.08866180764396266,4
1618,3413,5476,0.08943904866496369,3
1619,1355,5718,0.08993987614955559,3
1620,4252,5723,0.08993987614955562,4
1621,2572,5684,0.08993987614955562,3
1622,2457,5698,0.08993987614955565,3
1623,324,5746,0.08993987614955568,3
1624,157,5664,0.08993987658406633,3
1625,1464,5701,0.08993987658406637,3
1626,689,5689,0.08993987658406638,3
1627,1155,5727,0.08993987658406642,3
1628,2365,5296,0.09027554745317673,5
1629,2501,5501,0.09038452671843641,3
1630,3320,5233,0.09048663390453618,3
1631,5015,5016,0.09069824063587542,4
1632,4966,5128,0.09069824082391123,4
1633,5098,5112,0.09069824082391133,4
1634,4986,5166,0.09069824082391134,4
1635,5020,5158,0.09069824082391134,4
1636,5085,5129,0.09069824082391136,6
1637,5220,5236,0.09103636962594186,4
1638,501,5676,0.09121794504694795,4
1639,2546,5740,0.09121794552417022,4
1640,4397,4398,0.09155042318546495,4
1641,3146,3628,0.09155042318546498,2
1642,2702,2829,0.091550423185465,2
1643,2987,3003,0.09155042318546504,2
1644,3415,4409,0.09155042318546512,4
1645,3363,3850,0.09155042318546512,2
1646,2542,4451,0.0915504231854652,3
1647,2566,2578,0.0915504231854652,2
1648,3240,5206,0.09166958531719258,3
1649,5259,5539,0.0918463836272475,8
1650,2504,2919,0.09190079586580202,2
1651,1038,5229,0.09222909769537439,4
1652,1382,5253,0.09222909784396342,4
1653,1128,5254,0.09222909794608897,4
1654,2767,5188,0.09243445329583322,3
1655,5035,5270,0.09287720798235277,5
1656,1399,1407,0.09377408284173266,2
